term	related_law	term_description
해당 주택건설지역 거주자 우선공급	주택공급에 관한 규칙 제25조제3항제7호	"동일 순위 내에서 해당 주택건설지역에 거주하는 청약신청자에게 우선적으로 공급되고 미달 시 잔여세대가 인근(기타)지역에 거주하는 청약신청자에게 공급됩니다. 다만, 수도권 내 대규모 택지개발지구 및 행정중심복합도시 예정지역(세종특별자치시)등은 별도의 기준을 적용합니다.

해당 주택건설지역: 주택을 건설하는 특별시, 광역시, 특별자치시, 특별자치도 또는 시·군의 행정구역과 도시지역
예) 서울특별시, 인천광역시, 경남 진주시 등
인근(기타)지역의 범위
① 서울특별시, 인천광역시 및 경기도 지역
② 대전광역시, 세종특별자치시 및 충청남도
③ 충청북도
④ 광주광역시 및 전라남도
⑤ 전라북도
⑥ 대구광역시 및 경상북도
⑦ 부산광역시, 울산광역시 및 경상남도
⑧ 강원도

예) 주택건설지역이 경남 진주시일 경우 인근(기타)지역은 부산광역시, 울산광역시, 경상남도임.

<예시>
공급세대수	순위	접수건수	순위내 경쟁률
(미달세대수)	공급세대 및 경쟁률(미달세대) 산출식
100세대	1순위	해당지역	70	(Δ30)	

공급세대 : 100세대

미달세대 : 100세대 - 70명 = 30세대


인근(기타)지역	10	(Δ20)	

공급세대 : 1순위 해당지역 미달세대 30세대

미달세대 : 30세대 - 10명 = 20세대


2순위	해당지역	30	1.50	

공급세대 : 1순위 미달세대 20세대

경쟁률 : 20세대 ÷ 30명 = 1.50


인근(기타)지역	15	-	

공급세대 : 0세대 (2순위 해당지역 미달세대가 없으므로 공급세대 없음)

예비입주자 선정 : 2순위 해당지역에서 입주자로 선정되지 않은 청약신청자(10명) 및 2순위 인근(기타)지역에서 입주자로 선정되지 않은 청약신청자(15명) 중 예비입주자를 선정"
인근주택건설지역	주택공급에 관한 규칙 제4조제3항	"주택공급은 동일 순위 내에서 해당 주택건설지역에 거주하는 청약신청자에게 우선적으로 공급되고 미달 시 인근지역에 거주하는 청약신청자에게 공급됩니다. 다만, 수도권 내 대규모 택지개발지구 및 행정중심복합도시 예정지역(세종특별자치시)은 별도의 기준을 적용합니다.

인근지역의 범위
1. 서울특별시, 인천광역시 및 경기도 지역(이하 '수도권'이라 한다)
2. 대전광역시, 세종특별자치시 및 충청남도
3. 충청북도
4. 광주광역시 및 전라남도
5. 전북특별자치도
6. 대구광역시 및 경상북도
7. 부산광역시, 울산광역시 및 경상남도
8. 강원특별자치도

* 다만, 세종특별자치시, 도청이전신도시, 혁신도시개발지구, 기업도시개발구역, 산업단지, 주한미군 이전지역, 위축지역에서 공급되는 주택은 해당 및 인근지역에 거주하지 아니하는 자도 청약 가능(주택공급에 관한 규칙 제4조제1항)

자세한 사항은 청약제도안내 > APT청약안내 > 당첨자선정을 참고하시기 바랍니다."
오피스텔(생활숙박시설) 거주자 우선 분양	건축물의 분양에 관한 법률 시행령 제9조의2제2항	"적용지역 : 투기과열지구 및 조정대상지역(청약과열지역)
거주자 우선 분양 신청 자격 : 분양 신고일 현재, 해당 오피스텔(생활숙박시설)을 공급하는 지역 거주자
단, 해당 오피스텔(생활숙박시설)에 1명당 1실만 신청 가능하며, 동일한 오피스텔(생활숙박시설)에 1명이 2실 이상을 거주자 우선 분양으로 신청할 경우, 거주자 우선 분양 신청내역 뿐만 아니라 해당 주택의 모든 청약신청 내역이 무효 처리
예시) 1인당 각 군(타입별) 1실 청약가능 오피스텔(생활숙박시설) (총 3개군으로 각 군별 1실씩 최대 3실 청약 가능)
가. 청약 유효
2군 : 1실 청약 (거주자 우선 분양신청)
1군, 3군 : 각 1실 청약 (총 2실, 거주자 우선 분양 신청 아님)
나. 청약 무효 (거주자 우선 분양 2실 이상 신청)
1군 및 2군 : 각 1실 청약 (총 2실, 거주자 우선 분양 신청)
3군 : 1실 청약 (일반청약 , 거주자 우선 분양 신청 아님)

※ 상기 예시는 사업주체의 청약조건에 따라 변경 될 수 있음

거주자 우선 분양 비율 (아래의 범위내에서 지자체장이 정함)
가. 분양물량이 100실 이상인 경우 : 분양물량의 10% ~ 20% 이하
나. 분양물량이 100실 미만인 경우 : 분양물량의 10% 이하

※ 거주자 우선 분양물량 소수점 발생시 절사하여 물량결정하되 최소 1개실 공급

당첨자 선정
가. 상기 ""거주자 우선분양 비율""에 해당하는 분양물량을 거주자 우선분양 신청자를 대상으로 당첨자 선정(추첨)
나. 잔여 분양물량에 대하여 ""가""에서 낙첨된 청약자와 거주자 우선분양 미신청자를 대상으로 당첨자 선정(추첨)
거주자 우선 분양 지역 거주자가 아닌 자가 ""거주자 우선 분양""을 청약하여 ""거주자 우선 분양""으로 당첨된 경우, 해당 오피스텔(생활숙박시설)의 계약은 불가합니다.

* 관련법령 : 건축물의 분양에 관한 법률 시행령 제9조의2(거주자 우선 분양 기준)"
특별공급	주택공급에 관한 규칙 제35조 ~ 제49조	"주택의 공급방법은 일반공급, 우선공급 및 특별공급으로 구분합니다.(주택공급에 관한 규칙 제25조)

특별공급은 국가유공자, 장애인, 다자녀가구 등 정책적 배려가 필요한 사회계층 중 무주택자의 주택마련을 지원하기 위하여 주택 공급량의 일정비율을 특별공급 대상자에게 공급하는 제도입니다.

자세한 사항은 청약제도안내 > APT청약안내 > 특별공급을 참고하시기 바랍니다."
우선공급	주택공급에 관한 규칙 제4조 및 제34조	"일반인과 청약경쟁을 하되 특정조건을 갖춘 자에게 우선권을 주는 제도입니다. 특정조건에는 해당 주택건설지역 거주여부, 거주기간 등이 있습니다.

해당 주택건설지역 거주자 우선공급 : 주택공급 신청자 중 동일순위 안에서는 해당 주택건설지역의 거주자에 우선공급
투기방지를 위한 우선공급 : 해당 주택건설지역에 일정기간 이상 거주하고 있는 자에 우선공급
민영주택 등의 우선공급 : 행정구역 통합지역, 30세대 이상의 주상복합 건축물 건축 시 우선공급 (주택공급에 관한 규칙 제30조에서 34조 참조)
대규모 택지개발지구 등 주택의 우선공급 : 대규모(면적이 66만㎡ 이상) 택지개발지구 등에서 공급주택 중 일정비율 이상을 해당 주택건설지역 거주자에게 우선 공급
* 세부사항은 청약제도안내 > 주택청약 용어설명 > 대규모 택지개발지구 등 우선공급 참고"
예비입주자	주택공급에 관한 규칙 제26~27조	"사업주체는 특별공급 대상 주택수(제35조부터 제46조까지의 규정에 따른 특별공급 대상 주택수의 합계)의 500% 이상(소수점 이하는 절상)의 예비입주자 선정(주택공급에 관한 규칙 제26조의2)하고, 일반공급(제27조 및 제28조의 규정의 순위에 따름) 대상 주택수의 500% 이상(소수점 이하는 절상)의 예비입주자를 각각 선정하여야 한다.

입주자(당첨자) 선정 후 입주자의 계약 미체결 및 부적격자 당첨 취소 등으로 인한 미계약 및 당첨취소 물량에 대하여 예비입주자에게 순번에 따라 공급하며 추첨의 방식으로 동호수를 배정합니다. 최초로 예비입주자를 입주자로 선정하는 경우로서 동호수를 배정받은 이후에 공급계약을 체결하지 않은 예비입주자도 당첨자로 관리합니다.
2023. 04. 01. 이후 모집공고 승인 주택에 선정된 예비입주자의 지위는 최초 공급계약 체결일부터 180일까지 유효합니다."
주택소유여부 판정기준	주택공급에 관한 규칙 제53조	"주택소유여부를 판단할 때 분양권등을 갖고 있거나 주택 또는 분양권등의 공유지분을 소유하고 있는 경우에는 주택을 소유하고 있는 것으로 보되, 다음 각 호의 어느 하나에 해당하는 경우에는 주택을 소유하지 아니한 것으로 본다. 다만, 무주택세대구성원에 해당하는지 여부를 판단할 때?제46조(노부모부양 특별공급) 또는?「공공주택 특별법 시행규칙」 별표 6 제2호라목에 따른 노부모부양 특별공급(분양전환공공임대주택은 제외)의?경우에는 제6호를 적용하지 않으며,?공공임대주택의 공급의 경우에는 제6호, 제9호 및 제11호를 적용하지 않는다.

1. 상속으로 주택의 공유지분을 취득한 사실이 판명되어 사업주체로부터 제52조제3항에 따라 부적격자로 통보 받은 날부터 3개월 이내에 그 지분을 처분한 경우
2. 도시지역이 아닌 지역 또는 면의 행정구역(수도권은 제외한다)에 건축되어 있는 주택으로서 다음 각 목의 어느 하나에 해당하는 주택의 소유자가 해당 주택건설지역에 거주(상속으로 주택을 취득한 경우에는 피상속인이 거주한 것을 상속인이 거주한 것으로 본다)하다가 다른 주택건설지역으로 이주한 경우
가. 사용승인 후 20년 이상 경과된 단독주택
나. 85제곱미터 이하의 단독주택
다. 소유자의 「가족관계의 등록 등에 관한 법률」에 따른 최초 등록기준지에 건축되어 있는 주택으로서 직계존속 또는 배우자로부터 상속 등에 의하여 이전 받은 단독주택
3. 개인주택사업자가 분양을 목적으로 주택을 건설하여 이를 분양 완료하였거나 사업주체로부터 제52조제3항에 따른 부적격자로 통보 받은 날부터 3개월 이내에 이를 처분한 경우
4. 세무서에 사업자로 등록한 개인사업자가 그 소속 근로자의 숙소로 사용하기 위하여 법 제5조제3항에 따라 주택을 건설하여 소유하고 있거나 사업주체가 정부시책의 일환으로 근로자에게 공급할 목적으로 사업계획 승인을 받아 건설한 주택을 공급받아 소유하고 있는 경우
5. 주택공급신청자가 속한 세대가 20제곱미터 이하의 주택 또는 분양권등을 1호 또는 1세대만 소유하고 있는 경우.
6. 60세 이상의 직계존속(배우자의 직계존속을 포함한다)이 주택 또는 분양권등을 소유하고 있는 경우
7. 건물등기부 또는 건축물대장 등의 공부상 주택으로 등재되어 있으나 주택이 낡아 사람이 살지 아니하는 폐가이거나 주택이 멸실되었거나 주택이 아닌 다른 용도로 사용되고 있는 경우로서 사업주체로부터 제52조제3항에 따른 부적격자로 통보 받은 날부터 3개월 이내에 이를 멸실시키거나 실제 사용하고 있는 용도로 공부를 정리한 경우
8. 무허가건물[종전의 「건축법」(법률 제7696호 건축법 일부개정법률로 개정되기 전의 것을 말한다) 제8조 및 제9조에 따라 건축허가 또는 건축신고 없이 건축한 건물을 말한다]을 소유하고 있는 경우. 이 경우 소유자는 해당 건물이 건축 당시의 법령에 따른 적법한 건물임을 증명하여야 한다.
9. 주택공급신청자가 속한 세대가 소형·저가주택등을 1호 또는 1세대만 소유하고 있는 경우(단, 공공임대주택 청약 시에는 적용되지 않습니다.)
* ""소형·저가주택등""이란「주택공급에 관한 규칙」별표1제1호가목2)의 기준에 따라, 전용면적이 60제곱미터 이하로서 주택가격이 1억원(수도권은 1억6천만원) 이하인 주택 또는 분양권등을 말함.
** 세부사항은 청약제도안내 > 주택청약 용어설명 > 소형·저가주택 등 소유자를 무주택자로 보는 경우 참조
10. 주택공급에 관한 규칙 제27조제5항 및 제28조제10항제1호에 따라 입주자를 선정하고 남은 주택을 선착순의 방법으로 공급받아 분양권등을 소유하고 있는 경우(해당 분양권등을 매수한 자는 제외한다)
* 분양권등 : 주택소유로 보는 경우 등 세부사항은 청약제도안내 > 주택청약 용어설명 > 분양권등 참조
11. 임차인으로서 보증금의 전부 또는 일부를 돌려받지 못한 사람이 임차주택을 경매 또는 공매로 매수하여 소유하고 있는 경우. 다만, 그 주택이 다음 각 목의 어느 하나에 해당하는 경우는 제외한다.?
가. 주택가격이 1억5천만원(수도권은 3억원)을 초과하는 경우. 이 경우 주택가격의 산정은 「주택공급에 관한 규칙」 별표1 제1호가목2)를 준용한다.
나. 주거전용면적이 85제곱미터를 초과하는 경우"
당첨자	주택공급에 관한 규칙 제2조제7호	"당첨자 (주택공급에 관한 규칙 제2조제7호)

당첨자는 다음 각 호의 어느 하나에 해당하는 사람을 말합니다. 다만, 분양전환되지 않는 공공임대주택의 입주자로 선정된 자는 제외하며, 주택법 제65조제2항에 따라 당첨 또는 공급계약이 취소되거나 그 공급신청이 무효로 된 자는 당첨자로 봅니다.

가. 주택조합등(제3조제2항제1호 및 제5호) 주택에 대하여 해당 사업계획승인일 당시 입주대상자로 확정된 자
나. 정비사업등 토지등소유자 또는 조합원에게 공급하는 주택(제3조제2항제7호가목)에 대하여 해당 관리처분계획인가일 당시 입주대상자로 확정된 자
다. 정비사업등 세입자(제3조제2항제7호나목) 및 공공사업(제8호)에 따른 주택을 공급받은 자
라. 투기과열지구 및 청약과열지역에서 사후무순위(제19조제5항)로 공급한 주택을 공급받은 자
마. 국민주택 및 민영주택의 일반공급과 특별공급 그리고 「공공주택 특별법 시행규칙」 제19조에 따라 입주자로 선정된 자
* 제27조제5항 및 제28조제10항제1호에 따라 선착순의 방법으로 주택을 공급받는 자는 제외
바. 예비입주자로 선정된 자로서 사업주체와 공급계약을 체결한 자
* 최초로 예비입주자를 입주자로 선정하는 경우로서 동ㆍ호수 배정의 추첨에 참가하여 동ㆍ호수를 배정받고 공급계약을 체결하지 아니한 자를 포함
사. 제47조의3에 따라 입주자로 선정된 자
아. 법 제80조에 따라 주택상환사채를 매입한 자(상환 전에 중도 해약하거나 주택분양 전에 현금으로 상환받은 자는 제외한다)
자. 법 제64조제2항 단서 및 제3항에 따라 한국토지주택공사(「한국토지주택공사법」에 따른 한국토지주택공사를 말한다. 이하 같다) 또는 사업주체가 취득한 지위를 양도받은 자
차. 「공공주택 특별법 시행령」 제2조제1항제5호에 따른 분양전환공공임대주택(이하 ""분양전환공공임대주택""이라 한다)을 공급받은 자
카. 분양전환공공임대주택의 입주자가 퇴거하여 사업주체에게 명도된 주택을 공급받은 자"
분양권등	주택공급에 관한 규칙 제2조제7호의2	"APT 청약 시 분양권등

다음 어느 하나에 해당하는 분양권등을 소유하고 있는 경우, 그 해당하는 날부터 주택을 소유한 것으로 봅니다.

2018.12.11 이후 이후 입주자모집공고, 관리처분계획(정비사업) 및 사업계획(지역주택조합) 승인 신청분 주택에 대한 분양권등을 갖고 있거나 분양권등의 공유지분을 소유하고 있는 경우 : 공급계약체결일
분양권등(2018.12.10. 이전 공급분 포함)을 매수하는 경우 : 2018.12.11 이후 매수 신고하여 실거래신고서상 매매잔금을 완납하는 날(실거래신고상)

* 세부사항은 아래의 「주택공급에 관한 규칙」 부칙(제565호, 2018.12.11.) 제3조 참조

참고로 2018.12.10. 이전 입주자모집 승인을 신청한 주택의 분양권, 관리처분계획(정비사업) 승인 신청한 주택 및 사업계획(지역주택조합) 승인 신청한 주택의 입주권(공유지분)을 소유하고 있는 경우에는 주택을 소유한 것으로 보지 않으나, 아래에 해당하는 경우에는 주택을 소유한 것으로 인정합니다.

- 정비사업등 주택 : 해당 주택이 조합으로 신탁되거나 공부상 멸실되기 전까지는 유주택자로 보아야 하며, 멸실된 이후에는 무주택자로 인정합니다. 다만, 주택이 준공된 이후부터는 건축물대장 상의 준공일부터 주택을 소유한 것으로 인정합니다.

- 신규주택 : 잔금납부일부터 주택을 소유한 것으로 인정합니다.

※ 주택 소유로 보지 않는 경우는 “주택소유여부 판정기준” 참조

분양권등(분양권, 입주권)이란

「부동산 거래신고 등에 관한 법률」 제3조제1항제2호 및 제3호에 해당하는 주택에 관한 다음의 어느 하나에 해당하는 지위입니다.

가. 주택을 공급받는 자로 선정된 지위(분양권)
나. 주택의 입주자로 선정된 지위(입주권)
다. 매매를 통해 취득하고 있는 상기 “가” 또는 “나”의 지위
주택소유여부 판정기준

분양권등을 갖고 있거나 분양권등의 공유지분을 소유하고 있는 경우에는 주택을 소유하고 있는 것으로 보며, 주택공급에 관한 규칙 제53조(주택소유여부 판정기준)에 해당하는 경우, 주택을 소유하지 아니한 것으로 봅니다.

* 주택소유여부 판정기준의 세부사항은 청약제도안내 > 주택청약 용어설명 > 주택소유여부 판정기준 참고

※ 「주택공급에 관한 규칙」 부칙 제3조 (2018.12.11. 시행)

- 제3조(분양권등에 관한 적용례) 제2조제7호의2 · 제7호의3, 제23조제2항제9호, 같은 조 제4항제2호의2 · 제2호의3, 제28조제11항, 제53조, 별표 1 제1호가목2)다)의 개정규정은 이 규칙 시행 이후 입주자모집승인을 신청하는 경우로서 다음 각 호의 구분에 따른 분양권등부터 적용한다.

1. 제2조제7호의2가목 및 나목의 개정규정에 따른 분양권등의 경우: 이 규칙 시행 이후 「부동산 거래신고 등에 관한 법률」에 따라 신고하는 분양권등. 다만, 다음 각 목의 어느 하나에 해당하는 경우는 제외한다.
가. 이 규칙 시행 전에 법 제5조제2항에 따른 주택조합이 사업계획승인을 신청한 경우
나. 이 규칙 시행 전에 「도시 및 주거환경정비법」 제74조에 따른 관리처분계획 또는 「빈집 및 소규모주택 정비에 관한 특례법」제29조에 따라 가로주택정비사업 또는 소규모재건축사업의 사업시행계획 승인을 신청한 경우
2. 제2조제7호의2다목의 개정규정따른 분양권등의 경우 : 이 규칙 시행 전에 입주자모집승인을 신청한 주택에 관한 같은 호 가목 및 나목의 개정규정에 따른 분양권등을 매매하여 「부동산 거래신고 등에 관한 법률」 제3조에 따라 신고된 분양권등"
생활숙박시설	건축법 시행령 별표1 15호의가목	"생활숙박시설은 숙박업 신고를 해야하는 시설로서 국토교통부장관이 정하여 고시하는 요건을 갖춘 시설을 말합니다.

도시형 생활주택, 오피스텔, 생활숙박시설, 민간임대주택은 아파트 청약신청과 달리 별도의 청약통장 없이 청약신청할 수 있으며 재당첨 제한 등의 당첨자(입주자) 관리제도가 없습니다.
자세한 사항은 청약제도안내 > 오피스텔/생활숙박시설/도시형/(공공지원)민간임대 > 청약주택을 참고하시기 바랍니다."
순위기산일	주택공급에 관한 규칙 별표1	"입주자저축 가입기간 적용 시 기준이 되는 날짜이며, 청약통장 최초 가입일을 말합니다.

*입주자저축의 종류, 금액, 가입자 명의변경을 한 경우에도 최초 가입일 기준으로 산정"
